dataset_name,totalRouteLength,sumOfTaskLengths,totalRouteCosts,maxRouteCost,iterations,computeTime,num_tasks,number_of_agents
CoverageTasks/AC300/AC2_0002.json,4085.426048454887,3415.5739978489246,1662.358698359855,391.8561976381449,41,14.034029373899102,46,5
CoverageTasks/AC300/AC5_0007.json,4345.610092614885,3437.5392409841816,1956.164677185995,509.21970783981203,30,35.50247001694515,70,5
CoverageTasks/AC300/AC3_0008.json,4077.892413963993,3300.7518262944536,1697.6326578398366,446.35311619577385,41,12.964858520077541,53,5
CoverageTasks/AC300/AC2_0018.json,4047.659487670999,3393.7474380022054,1629.4798079497352,557.7866869125701,32,7.97293954109773,46,5
CoverageTasks/AC300/AC6_0000.json,3978.9924977092646,3102.209662957769,1964.783470179706,544.2372838690795,24,27.970135900890455,75,5
CoverageTasks/AC300/AC10_0005.json,3511.84428469689,2433.522419838478,2650.3838729432064,565.0998193231109,20,55.121178740868345,107,5
CoverageTasks/AC300/AC14_0016.json,4600.696253774391,3301.901069102368,2458.2663520364813,528.8407433854051,34,136.428368272027,115,5
CoverageTasks/AC300/AC3_0015.json,4186.627387306694,3417.0643644223737,1753.2794771234392,413.37360440775353,27,12.457240938208997,60,5
CoverageTasks/AC300/AC6_0016.json,4402.571264456131,3305.1812271126073,2615.165932317156,586.8259367795705,24,34.927372181089595,82,5
CoverageTasks/AC300/AC9_0005.json,4567.590893840737,3177.0810633630185,2909.2996135535936,641.7818051291639,18,80.46262373309582,104,5
CoverageTasks/AC300/AC6_0007.json,4285.628028919023,3352.664150769328,1946.7458206398148,467.2124687910814,35,59.133018038002774,75,5
CoverageTasks/AC300/AC1_0008.json,4064.4783100716113,3397.8302978010543,1585.3529248076638,435.66948423287715,25,4.368411743082106,38,5
CoverageTasks/AC300/AC14_0006.json,4844.805366066543,3252.5107125993873,2654.679810760037,569.1285793538282,73,138.3736763279885,132,5
CoverageTasks/AC300/AC14_0011.json,3661.3688895448086,2409.919275804875,2577.1172233711086,541.9021641566796,115,214.7630313220434,133,5
CoverageTasks/AC300/AC9_0004.json,4229.391662217453,3311.4065890110705,2561.3923332679037,601.9070746944944,28,54.689585422864184,92,5
CoverageTasks/AC300/AC10_0007.json,4677.8913954490645,3292.033854040553,2611.4842904086004,553.119329405023,19,48.82005906291306,105,5
CoverageTasks/AC300/AC1_0017.json,4029.962890201594,3419.72758128071,1602.3727379025859,420.6393180583786,19,6.807607203023508,43,5
CoverageTasks/AC300/AC14_0018.json,4820.6365536257,3300.1411332253997,2609.1089485755456,556.0828805013691,92,401.8753608230036,139,5
CoverageTasks/AC300/AC3_0006.json,4383.9913252579,3295.2170747151204,1981.062378483573,546.5992707785326,21,14.921324125025421,60,5
CoverageTasks/AC300/AC13_0002.json,4678.1224224473835,3287.7576078038137,2653.6448782866864,564.5837996791507,51,115.01174708502367,113,5
CoverageTasks/AC300/AC10_0012.json,4761.044076866445,3362.6797177221706,2673.335943393018,570.7174450547558,25,59.09824941516854,94,5
CoverageTasks/AC300/AC1_0004.json,3918.499270131623,3402.421726765456,1684.2496445984748,491.94778826588964,14,4.4272700261790305,43,5
CoverageTasks/AC300/AC13_0012.json,4546.991152688337,3285.3963614030063,2364.037118375022,540.1547060953836,27,129.4387264829129,120,5
CoverageTasks/AC300/AC3_0009.json,3964.231435538305,3181.278492036359,1841.5209611858463,445.49032422672116,23,24.806136534083635,67,5
CoverageTasks/AC300/AC8_0010.json,4930.6283771817325,3454.764401002233,2728.166555282758,621.4477167912723,25,91.44502699491568,101,5
CoverageTasks/AC300/AC1_0013.json,4137.79480470575,3497.6503510485245,1633.1042223191864,563.9418331296877,17,4.236103260889649,45,5
CoverageTasks/AC300/AC1_0002.json,4144.981581137857,3299.8879261422153,1938.0522578403811,510.49975683450015,19,7.223619246855378,46,5
CoverageTasks/AC300/AC13_0005.json,4582.24942013507,3159.90954643265,2699.6801213651256,587.6508989918168,16,102.40529568400234,132,5
CoverageTasks/AC300/AC2_0011.json,3944.15367201397,3419.6131870959966,1591.7484551750267,428.21257646252707,24,6.922457614913583,46,5
CoverageTasks/AC300/AC5_0016.json,4350.142861988958,3397.2009391855836,1955.3508897808567,525.7482602617998,25,16.594083023956046,61,5
CoverageTasks/AC300/AC8_0003.json,4580.724930183711,3349.4706332510264,2173.1113032228945,515.6886226008983,40,67.95636837882921,87,5
CoverageTasks/AC300/AC2_0006.json,3839.202793975007,3398.205784025894,1646.1652368793507,492.92281798366946,25,8.400870324112475,47,5
CoverageTasks/AC300/AC10_0002.json,4590.011300197893,3242.1105099176243,2526.8089796096983,553.9148141415885,25,78.70480068796314,107,5
CoverageTasks/AC300/AC10_0013.json,4706.496305801168,3417.868189204672,2493.5701404764454,545.5218561852116,95,184.54132015397772,107,5
CoverageTasks/AC300/AC2_0005.json,4156.9967936775465,3380.0251721049203,1646.2279018469912,384.27247089736403,67,18.28651663311757,43,5
CoverageTasks/AC300/AC11_0015.json,4608.220981835859,3289.3646518827895,2672.543711243401,573.0249793697399,15,51.60613077390008,111,5
CoverageTasks/AC300/AC7_0010.json,4360.008498568213,3352.401177916144,1997.9674817573327,476.8102623638905,70,51.22287870012224,79,5
CoverageTasks/AC300/AC2_0015.json,4151.4248565045245,3380.1106538714394,1662.9483660126118,415.59480068229954,23,7.941606973065063,47,5
CoverageTasks/AC300/AC2_0009.json,4148.535055705056,3391.145709824653,1860.9061989734485,472.2171026454283,19,10.18245019717142,53,5
CoverageTasks/AC300/AC6_0003.json,4134.333306487504,3354.674139425887,1792.2870285855313,463.61388301567814,40,25.4393954470288,69,5
CoverageTasks/AC300/AC3_0019.json,4273.2838279234265,3382.8488283080933,1841.0274447471188,507.2419087754477,24,12.540572853991762,55,5
CoverageTasks/AC300/AC9_0010.json,4857.166062215443,3313.273329479625,2488.431325369461,548.8520533363906,42,88.96475539193489,94,5
CoverageTasks/AC300/AC15_0004.json,3420.3343203483287,2258.600420017307,2563.641962777376,526.484589762049,5,85.40118938707747,149,5
CoverageTasks/AC300/AC7_0011.json,4585.787678125986,3344.4082399135173,2178.868744306462,567.3068194999416,29,45.09920492814854,83,5
CoverageTasks/AC300/AC15_0011.json,4644.932994384028,3322.7831870026425,2439.560733303656,552.9193004291132,92,251.54881706787273,140,5
CoverageTasks/AC300/AC4_0010.json,4194.301243768954,3323.7591509325293,2130.3687919895956,517.5317828751262,25,29.69916628114879,72,5
CoverageTasks/AC300/AC13_0014.json,4623.633099070929,3411.114023260952,2412.3607702503077,530.3732449178456,29,107.29336597793736,122,5
CoverageTasks/AC300/AC1_0003.json,4140.83066335494,3401.8257472689074,1614.5644907707533,501.7480028754712,23,5.1442329350393265,38,5
CoverageTasks/AC300/AC15_0018.json,4202.856419549898,3042.1060810895738,2631.713607702812,547.7246475199046,22,190.2564887451008,146,5
CoverageTasks/AC300/AC8_0000.json,4358.217959743012,3359.392755994817,2370.6701689294787,567.4267799365205,24,52.95847299718298,91,5
CoverageTasks/AC300/AC7_0004.json,4578.470690988293,3328.5742180680795,2506.827485536538,605.544244079673,30,38.68237588903867,85,5
CoverageTasks/AC300/AC14_0002.json,4015.366404393194,2686.322391805463,2671.74748575325,558.8479427758043,14,117.94492440321483,138,5
CoverageTasks/AC300/AC9_0000.json,4707.622766012299,3324.152487143745,2575.937188946871,539.1113182670539,26,60.17354225786403,98,5
CoverageTasks/AC300/AC6_0008.json,4167.973806690064,3267.3379279447763,1956.9407187650822,500.10882289688726,23,31.5235957109835,77,5
CoverageTasks/AC300/AC5_0000.json,4837.12233678009,3316.031432759791,2599.107789982202,550.384852761372,29,57.30128314788453,80,5
CoverageTasks/AC300/AC5_0006.json,4485.903150474199,3430.0789630897407,2049.660235679871,501.81117914512265,19,17.05567018711008,68,5
CoverageTasks/AC300/AC5_0018.json,4344.224917540483,3380.9463841420584,1838.479014513223,501.26102018233075,40,28.16602721507661,66,5
CoverageTasks/AC300/AC14_0017.json,4467.259765509148,3261.847421287959,2431.513394222444,541.5644509125382,92,310.5477676370647,134,5
CoverageTasks/AC300/AC5_0017.json,4289.105104912474,3402.569996806872,1946.1135240319504,510.8498612976606,27,21.43584633199498,65,5
CoverageTasks/AC300/AC6_0001.json,4182.766829879161,3280.6139580081895,1926.7601223305896,469.9075775105752,25,38.662596525857225,84,5
CoverageTasks/AC300/AC3_0016.json,3968.5805616542534,3393.21498523442,1602.521369777287,486.42265693561643,22,6.997281461954117,46,5
CoverageTasks/AC300/AC12_0004.json,3958.9251234001354,2770.945898727934,2762.6772775658997,612.5596805636809,25,64.13744787196629,103,5
CoverageTasks/AC300/AC4_0016.json,4394.567326258352,3385.083732193525,2067.9302395389427,503.3416371323699,23,20.901726425159723,71,5
CoverageTasks/AC300/AC15_0002.json,4210.891171267625,2874.5776611192964,2617.111432038983,537.0723925624102,12,127.63103390391916,147,5
CoverageTasks/AC300/AC14_0007.json,4675.098279130691,3350.3083384579472,2559.104166575123,514.350848052955,25,187.5975127229467,146,5
CoverageTasks/AC300/AC8_0014.json,4508.805626696203,3414.727503432237,2166.9933768303767,523.1848383057521,29,26.49837107397616,73,5
CoverageTasks/AC300/AC2_0016.json,4140.435151224683,3388.22778365015,1737.1447145954896,421.3518726336361,22,8.367215265985578,48,5
CoverageTasks/AC300/AC12_0011.json,4086.362669324408,2828.1590993615723,2628.4618839656423,555.9056046898897,18,91.74567807116546,131,5
CoverageTasks/AC300/AC12_0007.json,4493.15464948476,3161.361268914743,2626.3192510039817,545.0794498135994,24,99.3829213171266,113,5
CoverageTasks/AC300/AC6_0014.json,4290.078531946287,3249.760909713004,1940.328578577326,507.2050515072454,87,101.1410660399124,84,5
CoverageTasks/AC300/AC15_0003.json,4759.1181046226175,3330.4602428997596,2696.5087892534743,583.0753717307947,19,82.98128835507669,121,5
CoverageTasks/AC300/AC13_0011.json,4645.6236293685315,3371.224691375768,2367.3934274759167,527.4421041621051,37,85.33846257301047,107,5
CoverageTasks/AC300/AC2_0001.json,4248.968304292716,3245.9121759080244,1818.7706277127563,501.86875013789495,49,25.568315278040245,57,5
CoverageTasks/AC300/AC4_0000.json,4363.646793494895,3345.349177714647,1842.952718315489,504.7260373588803,25,19.483072612900287,61,5
CoverageTasks/AC300/AC8_0018.json,4824.283715058575,3367.6533150790256,2329.4885157235085,515.9476006891564,16,28.09741037688218,88,5
CoverageTasks/AC300/AC1_0015.json,4072.6662174034414,3392.2892620000002,1575.0836242834193,360.72830950577077,31,6.049400478834286,35,5
CoverageTasks/AC300/AC3_0007.json,4363.667509475236,3347.2897337826143,1796.2852360373417,512.3510536258369,25,11.215032526059076,52,5
CoverageTasks/AC300/AC9_0017.json,4592.515339867215,3231.410034044032,2367.5675402264023,517.9193140826706,25,75.07032657810487,102,5
CoverageTasks/AC300/AC5_0001.json,4279.515587293396,3356.9388757610423,2022.308579515949,555.5542360623864,18,15.75542418495752,66,5
CoverageTasks/AC300/AC12_0018.json,4418.729667630409,3321.1119373380507,2135.253559191419,512.8498312073792,98,116.24529697210528,102,5
CoverageTasks/AC300/AC5_0008.json,4376.888343980973,3370.9453913134284,2074.757383764168,495.2814970060988,26,19.23761475691572,57,5
CoverageTasks/AC300/AC4_0008.json,4027.5413134201726,3412.117271694354,1666.7513475884655,423.1961961621598,18,11.21609556186013,58,5
CoverageTasks/AC300/AC11_0001.json,4556.614546668004,3258.6066639536557,2234.6956546244433,502.09369280333806,40,148.4996176820714,118,5
CoverageTasks/AC300/AC9_0006.json,4169.514205676014,3390.6419586659326,2106.852265983103,556.0402901351646,27,52.890976460883394,89,5
CoverageTasks/AC300/AC6_0010.json,4642.004762999218,3395.6994293253297,2653.4897958726915,589.1645797538841,71,74.64461282500997,74,5
CoverageTasks/AC300/AC8_0011.json,4428.9680704281855,3291.5339273267136,2289.7515692262873,539.282241259135,51,48.65675755403936,80,5
CoverageTasks/AC300/AC12_0000.json,4735.547072165916,3280.2162861702773,2495.8423158737824,546.6431606940356,41,179.5280410440173,113,5
CoverageTasks/AC300/AC13_0001.json,4531.40344512958,3131.7523591387317,2562.351223531617,535.7652693437993,14,83.34768706490286,126,5
CoverageTasks/AC300/AC10_0017.json,4661.269161031576,3280.4329705668324,2586.0310970664477,582.1703019073075,32,82.88079373096116,103,5
CoverageTasks/AC300/AC10_0003.json,4538.482882175468,3220.669367478559,2489.356103368813,524.3888896773024,27,66.34098205110058,108,5
