dataset_name,totalRouteLength,sumOfTaskLengths,totalRouteCosts,maxRouteCost,iterations,computeTime,num_tasks,number_of_agents
CoverageTasks/AC300/AC2_0002.json,3961.2074270227904,3415.5739978489246,1607.3825727637675,835.0656402809956,30,18.91677668201737,46,2
CoverageTasks/AC300/AC5_0007.json,4300.636576338322,3437.5392409841816,1931.1429839250154,974.5796292150105,39,102.03302978700958,70,2
CoverageTasks/AC300/AC3_0008.json,3990.3985428157725,3300.751826294454,1649.3828732237776,1073.4969301943293,42,40.84229804109782,53,2
CoverageTasks/AC300/AC2_0018.json,3748.4562784283758,3393.7474380022054,1517.5653813393812,937.851440660049,29,18.056565992999822,46,2
CoverageTasks/AC300/AC6_0000.json,4068.850861154958,3102.209662957769,1981.311930863209,1121.195482166264,59,215.68238852499053,75,2
CoverageTasks/AC300/AC10_0005.json,4718.864258586888,3170.3277615473207,3088.1048439121773,1557.385468827006,40,289.6733826820273,107,2
CoverageTasks/AC300/AC14_0016.json,4477.996764504975,3301.901069102369,2391.4912858794196,1349.9482904778558,67,889.9741390359122,115,2
CoverageTasks/AC300/AC3_0015.json,4101.654798899775,3417.0643644223737,1716.546521459757,995.6209582632922,46,83.63371940492652,60,2
CoverageTasks/AC300/AC6_0016.json,4482.079591797122,3305.181227112608,2456.4732696867695,1348.1485038236417,59,269.52441935497336,82,2
CoverageTasks/AC300/AC9_0005.json,4467.239340719354,3189.2586483630184,2927.426262977572,1517.2746923141601,204,1171.925023135962,104,2
CoverageTasks/AC300/AC6_0007.json,4200.628229409786,3352.664150769327,1924.4743404998223,1177.5766062591738,50,171.68227000907063,75,2
CoverageTasks/AC300/AC1_0008.json,3827.1822231545534,3397.8302978010543,1498.8981091034902,964.3656547129202,42,14.660685833077878,38,2
CoverageTasks/AC300/AC14_0006.json,4598.947325399983,3304.2288545993874,2711.0307456998617,1507.0991780124248,57,1067.315404915018,132,2
CoverageTasks/AC300/AC14_0011.json,4449.490804806656,2753.6880186291264,3060.9669695114217,1536.7620897916308,56,628.1984811259899,133,2
CoverageTasks/AC300/AC9_0004.json,4305.724791252741,3311.4065890110705,2598.9170529016064,1471.524550021225,53,310.43624180112965,92,2
CoverageTasks/AC300/AC10_0007.json,4515.742188746438,3292.0338540405537,2494.1493691945025,1437.7423640226843,79,886.0176761478651,105,2
CoverageTasks/AC300/AC1_0017.json,4042.050346437618,3419.72758128071,1598.947894144476,889.9810286684219,43,21.42226569610648,43,2
CoverageTasks/AC300/AC14_0018.json,4407.1462689719565,3300.1411332253992,2498.794901100756,1294.9293568882272,49,1537.0133274639957,139,2
CoverageTasks/AC300/AC3_0006.json,4177.334165631072,3295.2170747151213,1925.9243792531868,1388.9114139855294,50,79.91170154185966,60,2
CoverageTasks/AC300/AC13_0002.json,4442.544676143187,3333.995019803813,2721.302297579088,1405.5056500921319,45,605.864219063893,113,2
CoverageTasks/AC300/AC10_0012.json,4462.802650328694,3379.591613722171,2744.43783305095,1514.4991324886623,56,340.6136870109476,94,2
CoverageTasks/AC300/AC1_0004.json,4060.0008536275236,3402.4217267654562,1717.3853194777298,953.622105684044,32,18.607790048001334,43,2
CoverageTasks/AC300/AC13_0012.json,4392.086166624755,3285.3963614030063,2271.2552166772234,1306.2434039914572,41,460.0317065389827,120,2
CoverageTasks/AC300/AC3_0009.json,3930.7574763924476,3181.27849203636,1853.526627626401,1315.247509681147,53,102.70510960696265,67,2
