dataset_name,totalRouteLength,sumOfTaskLengths,totalRouteCosts,maxRouteCost,iterations,computeTime,num_tasks,number_of_agents
CoverageTasks/AC300/AC2_0002.json,4147.673807056392,3415.5739978489246,1679.8971670315314,561.7819376567032,39,25.827823790954426,46,4
CoverageTasks/AC300/AC5_0007.json,4524.32757672659,3437.539240984182,2003.8204247634233,789.0724663470271,46,92.62647913815454,70,4
CoverageTasks/AC300/AC3_0008.json,4121.509283696717,3300.7518262944536,1703.7597312215503,498.99919736786984,31,31.589005245128646,53,4
CoverageTasks/AC300/AC2_0018.json,4346.09834915278,3393.747438002205,1731.5345671700443,521.7477612395413,48,36.43844379996881,46,4
CoverageTasks/AC300/AC6_0000.json,4008.3076263992934,3102.2096629577686,1968.4093143027067,711.0339758792956,37,101.66006082599051,75,4
CoverageTasks/AC300/AC10_0005.json,4395.392559666876,2845.2296566667987,3044.2199195623116,775.0996326881957,30,189.77584740705788,107,4
CoverageTasks/AC300/AC14_0016.json,4587.431258937068,3301.9010691023686,2416.2183232140474,757.4215733829067,54,367.0167040619999,115,4
CoverageTasks/AC300/AC3_0015.json,4398.166271861588,3417.0643644223733,1815.7694549293365,582.8433481399146,62,81.23965433915146,60,4
CoverageTasks/AC300/AC6_0016.json,4444.658004555321,3305.1812271126073,2466.7511626669398,794.5466957546327,45,127.04464298393577,82,4
CoverageTasks/AC300/AC9_0005.json,4756.125593989172,3189.2586483630184,2961.46782726502,842.0588926977414,54,323.9058023181278,104,4
CoverageTasks/AC300/AC6_0007.json,4259.929950543354,3352.6641507693275,1936.9403126754105,603.2609122864706,34,99.75645876303315,75,4
CoverageTasks/AC300/AC1_0008.json,3813.2367720308816,3397.830297801054,1500.39743592344,434.11971594183086,42,12.698150054086,38,4
CoverageTasks/AC300/AC14_0006.json,4747.918354540478,3304.228854599388,2792.0200072473917,780.7904385663921,58,782.9688563880045,132,4
CoverageTasks/AC300/AC14_0011.json,4358.206409374181,2606.5713889205836,3162.1219449725013,798.5483476318254,38,389.5388799980283,133,4
CoverageTasks/AC300/AC9_0004.json,4587.260128574367,3311.4065890110705,2561.1599813655885,734.8086415380802,70,218.24923844612204,92,4
CoverageTasks/AC300/AC10_0007.json,4795.672436083899,3292.033854040553,2594.2474919855163,760.4564554613863,63,290.2085839889478,105,4
CoverageTasks/AC300/AC1_0017.json,4154.815037063581,3419.72758128071,1645.337684854182,505.03685015331484,67,36.385420008096844,43,4
CoverageTasks/AC300/AC14_0018.json,4540.574694944586,3300.1411332254,2545.7919005861763,730.1747707750083,66,728.7697673831135,139,4
CoverageTasks/AC300/AC3_0006.json,4240.558059782399,3295.217074715121,1951.452930899439,742.1695965381404,36,43.98443004395813,60,4
CoverageTasks/AC300/AC13_0002.json,4932.3907160122635,3333.995019803813,2991.5869633017983,840.8101193956221,45,348.1604090349283,113,4
CoverageTasks/AC300/AC10_0012.json,4702.405705060502,3379.59161372217,2739.4622962812628,821.5614772142924,90,267.99490128597245,94,4
CoverageTasks/AC300/AC1_0004.json,4085.9916784079896,3402.421726765456,1688.770206292162,527.9777144715295,40,17.20857580890879,43,4
CoverageTasks/AC300/AC13_0012.json,4658.316724379869,3285.3963614030054,2350.6411255555913,754.9029107935056,53,511.64818616304547,120,4
CoverageTasks/AC300/AC3_0009.json,4067.1297488332953,3181.2784920363592,1888.9244781498196,710.3738594582005,43,65.95311821391806,67,4
CoverageTasks/AC300/AC8_0010.json,5031.913637464413,3454.764401002233,2794.5822830806565,762.3170550383263,63,369.7850348111242,101,4
CoverageTasks/AC300/AC1_0013.json,4350.031119789182,3497.650351048524,1711.3765241859082,464.45153742045215,43,26.593610467156395,45,4
CoverageTasks/AC300/AC1_0002.json,4256.733211619773,3299.8879261422153,1951.649220680367,540.3085406904465,83,26.718934035860002,46,4
CoverageTasks/AC300/AC13_0005.json,4959.25103508603,3395.7267494326506,3146.4167037561674,803.7692905407273,93,582.0896128318273,132,4
CoverageTasks/AC300/AC2_0011.json,4022.814540470642,3419.6131870959966,1620.324169432391,465.72088397269124,36,27.995629576034844,46,4
CoverageTasks/AC300/AC5_0016.json,4426.496858318844,3397.2009391855836,1993.9049496233663,735.5851162960531,46,70.70708933006972,61,4
CoverageTasks/AC300/AC8_0003.json,4340.4098912427235,3349.470633251026,2086.171810520443,634.8462734891019,41,202.25117875589058,87,4
CoverageTasks/AC300/AC2_0006.json,4376.079131949298,3398.2057840258935,1798.0786244313485,597.7907345624247,115,89.31469565909356,47,4
CoverageTasks/AC300/AC10_0002.json,4577.358078244813,3242.1105099176248,2484.186451257549,651.8014819333264,37,309.13413520297036,107,4
CoverageTasks/AC300/AC10_0013.json,4873.334811539908,3417.8681892046716,2468.210304372329,777.3820270632676,78,565.3875842099078,107,4
CoverageTasks/AC300/AC2_0005.json,4038.8382339124882,3380.025172104921,1602.6110340029368,749.6374461075974,23,13.492928955005482,43,4
CoverageTasks/AC300/AC11_0015.json,5054.24965866075,3289.3646518827895,2778.6801201149347,818.2554287067263,39,289.47682144492865,111,4
CoverageTasks/AC300/AC7_0010.json,4291.721109419726,3352.4011779161447,1997.9619752722283,682.2259619951698,40,159.22525308304466,79,4
CoverageTasks/AC300/AC2_0015.json,4244.012431175679,3380.1106538714394,1699.3786353219384,549.9071498787046,43,36.86674435692839,47,4
CoverageTasks/AC300/AC2_0009.json,4221.764685924736,3391.145709824653,1884.7359293166155,655.7277305800801,39,55.12112035090104,53,4
CoverageTasks/AC300/AC6_0003.json,4152.57470380265,3354.674139425887,1795.1481847260998,616.6841342336315,30,79.8106529188808,69,4
CoverageTasks/AC300/AC3_0019.json,4263.577357007641,3382.848828308093,1817.3764371746636,571.0747166251148,57,84.99051125580445,55,4
CoverageTasks/AC300/AC9_0010.json,4677.0931561077105,3313.2733294796244,2404.528495280952,810.0117527841485,37,220.27482651593164,94,4
CoverageTasks/AC300/AC15_0004.json,4547.894845677821,2912.62933588915,3125.145112628684,805.7427700879996,38,651.8576483950019,149,4
CoverageTasks/AC300/AC7_0011.json,4461.78188347672,3344.4082399135173,2133.7809458716843,782.3633780644705,63,168.02185459411703,83,4
