dataset_name,totalRouteLength,sumOfTaskLengths,totalRouteCosts,maxRouteCost,iterations,computeTime,num_tasks,number_of_agents
CoverageTasks/AC300/AC2_0002.json,4551.417607745068,3415.5739978489246,1854.5145865285497,199.673204969835,37,24.717650121077895,46,12
CoverageTasks/AC300/AC5_0007.json,5339.224178156445,3437.5392409841816,2335.9426952837507,345.12954573008767,58,101.71168631198816,70,12
CoverageTasks/AC300/AC3_0008.json,5364.9078494871555,3300.7518262944536,2158.4926049085316,259.7645943309752,54,44.745520953089,53,12
CoverageTasks/AC300/AC2_0018.json,4989.239838632289,3393.747438002205,1973.444089261115,195.59258829435967,36,28.262206153012812,46,12
CoverageTasks/AC300/AC6_0000.json,5157.510208802494,3102.209662957769,2428.726984417157,314.9285740629865,92,136.47516011283733,75,12
CoverageTasks/AC300/AC10_0005.json,5816.596112020059,3023.59072380963,3988.885655975863,381.13741411725124,31,216.38969294400886,107,12
CoverageTasks/AC300/AC14_0016.json,5614.087326415942,3301.901069102368,2786.6037479380166,281.06249139789156,73,379.6009015708696,115,12
CoverageTasks/AC300/AC3_0015.json,4713.804768882824,3417.0643644223733,1946.2975285841642,266.5668625305562,56,80.7553954590112,60,12
CoverageTasks/AC300/AC6_0016.json,5016.631211141833,3305.181227112608,2779.622543691564,332.6214815505467,84,158.5668854280375,82,12
CoverageTasks/AC300/AC9_0005.json,5285.641826186333,3189.2586483630175,3218.095603363028,412.31936147513767,74,337.0160466230009,104,12
CoverageTasks/AC300/AC6_0007.json,5283.001822140065,3352.664150769327,2329.652090506384,337.0213505253593,46,113.06701975688338,75,12
CoverageTasks/AC300/AC1_0008.json,4866.644205139429,3397.8302978010543,1882.2077113393166,254.41808069595632,33,15.416692834114656,38,12
CoverageTasks/AC300/AC14_0006.json,5674.574639695796,3304.2288545993874,3090.258687243524,334.68749408996973,46,402.8448748460505,132,12
CoverageTasks/AC300/AC14_0011.json,5017.343038726463,2906.962027699103,4112.105298672339,401.35817075601386,61,528.477049598936,133,12
CoverageTasks/AC300/AC9_0004.json,5087.531352718422,3311.4065890110705,2891.7338811881677,279.80575065657337,49,195.8577842549421,92,12
CoverageTasks/AC300/AC10_0007.json,5172.908082384466,3292.0338540405523,2837.597239288332,304.3451242677224,35,223.5398405219894,105,12
CoverageTasks/AC300/AC1_0017.json,4462.038749877894,3419.72758128071,1770.642760386982,225.3632619107188,151,53.035438215127215,43,12
CoverageTasks/AC300/AC14_0018.json,5101.139160600498,3300.1411332253992,2806.764501953466,305.8820463333299,48,568.5748485259246,139,12
CoverageTasks/AC300/AC3_0006.json,5080.168063069334,3295.2170747151213,2275.2338899781485,319.6957164282834,39,55.574265639996156,60,12
CoverageTasks/AC300/AC13_0002.json,5837.032127277947,3333.9950198038136,3214.5193179557,377.0494386994596,81,447.76277396595106,113,12
CoverageTasks/AC300/AC10_0012.json,5159.316035851393,3379.5916137221707,2984.2455200845047,352.24537144714037,33,222.38663257891312,94,12
CoverageTasks/AC300/AC1_0004.json,5249.850433340525,3402.421726765456,2120.909069358395,291.5320284021487,124,52.64571268996224,43,12
CoverageTasks/AC300/AC13_0012.json,5387.9476401423,3285.3963614030063,2648.581055522729,319.78185035261,65,542.224376823986,120,12
CoverageTasks/AC300/AC3_0009.json,4756.349210031964,3181.2784920363592,2168.568227124028,341.47473156119145,51,108.98507704096846,67,12
CoverageTasks/AC300/AC8_0010.json,5242.395144601551,3454.764401002233,2867.2655296774133,354.0205984858315,48,252.408549151849,101,12
CoverageTasks/AC300/AC1_0013.json,5778.441900017578,3497.650351048524,2216.955142824645,233.59622590089475,77,33.58123378502205,45,12
CoverageTasks/AC300/AC1_0002.json,4965.884995272831,3299.8879261422153,2227.4911634188315,241.07906184928632,192,69.07969381986186,46,12
CoverageTasks/AC300/AC13_0005.json,5718.317615243522,3427.5579074326506,3533.3263920620016,377.53740934392505,38,462.4702062010765,132,12
CoverageTasks/AC300/AC2_0011.json,4944.742689020362,3419.613187095997,1954.5634987781302,255.63665846327027,42,25.947359109064564,46,12
CoverageTasks/AC300/AC5_0016.json,4921.048641447763,3397.200939185584,2250.879773563786,293.508295498094,80,61.47995882388204,61,12
CoverageTasks/AC300/AC8_0003.json,5365.822582907298,3349.470633251026,2461.350130006257,304.92308164435616,199,274.0931377641391,87,12
CoverageTasks/AC300/AC2_0006.json,4464.953122037461,3398.205784025894,1841.0720598581267,257.54971669787847,152,74.97108650812879,47,12
CoverageTasks/AC300/AC10_0002.json,5412.353153218715,3242.1105099176243,2822.468554532366,312.83934087428804,153,584.0271656410769,107,12
CoverageTasks/AC300/AC10_0013.json,5021.079724877779,3417.8681892046716,2624.6264004716827,290.6279374947411,42,385.57628416712396,107,12
CoverageTasks/AC300/AC2_0005.json,5537.335721220793,3380.025172104921,2136.564021900477,222.98404920761172,81,39.72001393302344,43,12
CoverageTasks/AC300/AC11_0015.json,5063.334967988945,3289.3646518827895,2836.021443570566,322.8285775108803,32,362.7825552590657,111,12
CoverageTasks/AC300/AC7_0010.json,4725.493136167117,3352.4011779161447,2174.362909486735,330.4278931767472,31,122.7447978479322,79,12
CoverageTasks/AC300/AC2_0015.json,5356.916409881933,3380.1106538714394,2110.042019223806,272.7566099063455,112,70.39748401008546,47,12
CoverageTasks/AC300/AC2_0009.json,4856.981181888349,3391.145709824653,2145.0192952155953,282.9541079948065,36,50.5666748220101,53,12
CoverageTasks/AC300/AC6_0003.json,4854.08264719464,3354.6741394258875,2061.4333251842886,326.4689185731402,41,90.41087477398105,69,12
CoverageTasks/AC300/AC3_0019.json,5508.710220233346,3382.8488283080933,2271.145489288357,272.03063627092536,98,96.33323277602904,55,12
CoverageTasks/AC300/AC9_0010.json,5706.482206902916,3313.2733294796244,2806.337092881703,302.8125200860955,44,252.4657161310315,94,12
CoverageTasks/AC300/AC15_0004.json,5209.039840546217,3151.4248161359133,4228.31849406959,425.13680704584607,40,851.0261102479417,149,12
